Name,Smiles_Code
L32,O=C(NN1C(C=CC=C2)=C2C3=C1C(C)=CC(C)=C3)C4=NC(O)=CC=C4
L33,O=C(NN1C(C(C)=CC=C2)=C2C3=C1C(C)=CC=C3)C4=NC(O)=CC=C4
L34,O=C(NN1C(C=CC=C2)=C2C3=C1C(OC)=CC=C3)C4=NC(O)=CC=C4
L35,O=C(NN1C(C=CC=C2)=C2C3=C1C(CC)=CC=C3)C4=NC(O)=CC=C4
L36,O=C(NN1C(C=CC=C2)=C2C3=C1C(Br)=CC=C3)C4=NC(O)=CC=C4
L37,O=C(NN1C(C(Br)=CC(Br)=C2)=C2C3=C1C(Br)=CC(Br)=C3)C4=NC(O)=CC=C4
L38,O=C(NN1C(C=CC=C2)=C2SC3=C1C=CC=C3)C4=NC(O)=CC=C4
L39,O=C(NN1C(C=C(Br)C=C2)=C2C3=C1C=C(Br)C=C3)C4=NC(O)=CC=C4
L40,O=C(NN1C(C=C(C)C=C2)=C2C3=C1C=C(C)C=C3)C4=NC(O)=CC=C4
L41,O=C(NN1C(C=CC=C2)=C2C3=C1C(Cl)=CC=C3)C4=NC(O)=CC=C4
L42,O=C(NN1C(C=C(C(C)(C)C)C=C2)=C2C3=C1C=C(C(C)(C)C)C=C3)C4=NC(O)=CC=C4
L43,O=C(NN1C(C=CC=C2)=C2OC3=C1C=CC=C3)C4=NC(O)=CC=C4
L44,O=C(NN1C(C=CC=C2)=C2C(C)(C)C3=C1C=CC=C3)C4=NC(O)=CC=C4
L45,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC=C3)C4=NC(O)=C5C(C=CC=C5)=C4
L46,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC=C3)C4=NC(O)=CC(OC)=C4
L47,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC=C3)C4=NC(O)=C(OC)C=C4
L48,O=C(NN1C(C=CC=C2)=C2C3=C1C(C)=CC(C)=C3)C4=NC(O)=CC(OC)=C4
L49,O=C(NN1C(C=CC=C2)=C2C3=C1C(C)=CC(C)=C3)C4=NC(O)=C(OC)C=C4
L50,O=C(NN1C(C=CC=C2)=C2C3=C1C(C)=CC(C)=C3)C4=NC(O)=CN=C4
L51,O=C(NN1C(C=C(C)C=C2)=C2C3=C1C=C(C)C=C3)C4=NC(O)=CN=C4
L52,O=C(NN1C(C=C(C(C)(C)C)C=C2)=C2C3=C1C=C(C(C)(C)C)C=C3)C4=NC(O)=CN=C4
L53,O=C(NN1C(C=CC=C2)=C2C3=C1C(C)=CC(C)=C3)C4=NC(O)=NC=C4
L54,O=C(NN1C(C=C(C)C=C2)=C2C3=C1C=C(C)C=C3)C4=NC(O)=NC=C4
L55,O=C(NN1C(C=C(C(C)(C)C)C=C2)=C2C3=C1C=C(C(C)(C)C)C=C3)C4=NC(O)=NC=C4
L56,O=C(NN1C(C=C(OC)C=C2)=C2C3=C1C=C(OC)C=C3)C4=NC(O)=CC=C4
L57,O=C(NN1C(C=C(N(C)C)C=C2)=C2C3=C1C=C(N(C)C)C=C3)C4=NC(O)=CC=C4
