Name,SMILES_Code,Yield,
L2,O=C(NC1=C(C)C=CC2=C1C=CC=C2)C3=NC(O)=CC=C3,23,
L1,O=C(NC1=C(C)C=CC=C1C)C2=NC(O)=CC=C2,18,
L4,O=C(NN(C1=CC=CC=C1)C2=CC=CC=C2)C3=NC(O)=CC=C3,34,
L5,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC=C3)C4=NC(O)=CC=C4,70,
L31,O=C(NN1C=CC2=C1C=CC=C2)C3=NC(O)=CC=C3,8,
L6,O=C(NN1C(C)=CC=C1C)C2=NC(O)=CC=C2,19,
L9,O=C(NN1C(CCCC2)=C2C3=C1C=CC=C3)C4=NC(O)=CC=C4,38,
L8,O=C(NN1C(CCC2)=C2C3=C1C=CC=C3)C4=NC(O)=CC=C4,43,
L30,O=C(NC1C(C=CC=C2)=C2C3=C1C=CC=C3)C4=NC(O)=CC=C4,0,
L7,O=C(NN1C(C)=C(C)C2=C1C=CC=C2)C3=NC(O)=CC=C3,53,
L10,O=C(NN1C(C=CC(OC)=C2)=C2C3=C1C=CC=C3)C4=NC(O)=CC=C4,48,
L11,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC(C4=CC=CC=C4)=C3)C5=NC(O)=CC=C5,55,
L12,O=C(NN1C(C=CC(OC)=C2)=C2C3=C1C=CC(OC)=C3)C4=NC(O)=CC=C4,43,
L13,O=C(NN1C(C=CC(C(C)(C)C)=C2)=C2C3=C1C=CC(C(C)(C)C)=C3)C4=NC(O)=CC=C4,82,
L23,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC=C3)C4=NC=CC(O)=C4,2,
L14,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC(F)=C3)C4=NC(O)=CC=C4,59,
L17,O=C(NN1C(C=CC=C2)=C2C3=C1C4=C(C=CC=C4)C=C3)C5=NC(O)=CC=C5,95,
L16,O=C(NN1C(C=CC2=C3C=CC=C2)=C3C4=C1C=CC5=C4C=CC=C5)C6=NC(O)=CC=C6,61,
L3,O=C(NC1=C(C=CC=C2)C2=CC3=C1C=CC=C3)C4=NC(O)=CC=C4,50,
L21,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC(N4C(C=CC=C5)=C5C6=C4C=CC=C6)=C3)C7=NC(O)=CC=C7,50,
L19,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC4=C3C(C=CC=C5)=C5O4)C6=NC(O)=CC=C6,47,
L20,O=C(NN1C(C=CC=C2)=C2C3=C1C4=C(C=CC=C4)C5=C3C=CC=C5)C6=NC(O)=CC=C6,96,
L15,O=C(NN1C(C=CC(C2=CC=CC=C2)=C3)=C3C4=C1C=CC(C5=CC=CC=C5)=C4)C6=NC(O)=CC=C6,46,
L18,O=C(NN1C(C=C(C2=CC=CC=C2)C=C3)=C3C4=C1C=C(C5=CC=CC=C5)C=C4)C6=NC(O)=CC=C6,51,
L22,O=C(NN1C(C=CC=C2)=C2C3=C1N=CC=C3)C4=NC(O)=CC=C4,44,
L24,O=C(NN1C(C=CC=C2)=C2C3=C1C=CC=C3)C4=NC=C(O)N=C4,0,
